id,text,label
81,This is a rumor circulating online,rumor
82,Unverified claim spreading rapidly,non-rumor
83,This is a rumor circulating online,rumor
84,Check facts before sharing this post,non-rumor
85,Official statement released by authorities,non-rumor
86,Unverified claim spreading rapidly,non-rumor
87,This is a rumor circulating online,rumor
88,Breaking news event reported in Beijing,non-rumor
89,Check facts before sharing this post,rumor
90,Check facts before sharing this post,non-rumor
91,Check facts before sharing this post,rumor
92,Unverified claim spreading rapidly,rumor
93,Breaking news event reported in Beijing,rumor
94,Breaking news event reported in Beijing,non-rumor
95,Breaking news event reported in Beijing,rumor
96,Unverified claim spreading rapidly,rumor
97,Breaking news event reported in Beijing,non-rumor
98,Official statement released by authorities,rumor
99,Official statement released by authorities,rumor
100,Check facts before sharing this post,rumor
101,Check facts before sharing this post,rumor
102,This is a rumor circulating online,rumor
103,Official statement released by authorities,non-rumor
104,This is a rumor circulating online,non-rumor
105,Check facts before sharing this post,rumor
106,Unverified claim spreading rapidly,non-rumor
107,Official statement released by authorities,non-rumor
108,Unverified claim spreading rapidly,non-rumor
109,This is a rumor circulating online,rumor
110,Check facts before sharing this post,rumor
111,Unverified claim spreading rapidly,non-rumor
112,Check facts before sharing this post,non-rumor
113,This is a rumor circulating online,rumor
114,Official statement released by authorities,rumor
115,Breaking news event reported in Beijing,rumor
116,Check facts before sharing this post,non-rumor
117,This is a rumor circulating online,non-rumor
118,Unverified claim spreading rapidly,non-rumor
119,Check facts before sharing this post,non-rumor
120,Official statement released by authorities,rumor
121,Breaking news event reported in Beijing,rumor
122,Breaking news event reported in Beijing,rumor
123,Official statement released by authorities,rumor
124,Unverified claim spreading rapidly,rumor
125,Breaking news event reported in Beijing,rumor
126,Official statement released by authorities,rumor
127,Check facts before sharing this post,rumor
128,Check facts before sharing this post,rumor
129,Check facts before sharing this post,rumor
130,Check facts before sharing this post,non-rumor
131,Official statement released by authorities,rumor
132,This is a rumor circulating online,rumor
133,Breaking news event reported in Beijing,rumor
134,Breaking news event reported in Beijing,rumor
135,Breaking news event reported in Beijing,non-rumor
136,Official statement released by authorities,rumor
137,Official statement released by authorities,rumor
138,Official statement released by authorities,rumor
139,This is a rumor circulating online,non-rumor
140,Unverified claim spreading rapidly,rumor
141,Unverified claim spreading rapidly,rumor
142,Unverified claim spreading rapidly,non-rumor
143,Official statement released by authorities,rumor
144,Breaking news event reported in Beijing,non-rumor
145,Official statement released by authorities,rumor
146,Official statement released by authorities,rumor
147,Breaking news event reported in Beijing,non-rumor
148,Unverified claim spreading rapidly,rumor
149,Breaking news event reported in Beijing,non-rumor
150,Official statement released by authorities,non-rumor
151,Official statement released by authorities,non-rumor
152,Check facts before sharing this post,non-rumor
153,This is a rumor circulating online,non-rumor
154,Unverified claim spreading rapidly,rumor
155,Official statement released by authorities,non-rumor
156,Breaking news event reported in Beijing,rumor
157,Unverified claim spreading rapidly,rumor
158,This is a rumor circulating online,non-rumor
159,Breaking news event reported in Beijing,non-rumor
160,Breaking news event reported in Beijing,rumor
161,This is a rumor circulating online,rumor
162,Check facts before sharing this post,rumor
163,Official statement released by authorities,non-rumor
164,Unverified claim spreading rapidly,rumor
165,Breaking news event reported in Beijing,non-rumor
166,Check facts before sharing this post,non-rumor
167,Unverified claim spreading rapidly,non-rumor
168,Check facts before sharing this post,non-rumor
169,Official statement released by authorities,non-rumor
170,This is a rumor circulating online,rumor
171,This is a rumor circulating online,rumor
172,Unverified claim spreading rapidly,non-rumor
173,Unverified claim spreading rapidly,non-rumor
174,Check facts before sharing this post,non-rumor
175,This is a rumor circulating online,non-rumor
176,This is a rumor circulating online,rumor
177,This is a rumor circulating online,non-rumor
178,Unverified claim spreading rapidly,non-rumor
179,Check facts before sharing this post,non-rumor
180,Check facts before sharing this post,non-rumor
181,Official statement released by authorities,rumor
182,Unverified claim spreading rapidly,non-rumor
183,This is a rumor circulating online,non-rumor
184,Check facts before sharing this post,non-rumor
185,Breaking news event reported in Beijing,non-rumor
186,Unverified claim spreading rapidly,rumor
187,Unverified claim spreading rapidly,non-rumor
188,This is a rumor circulating online,non-rumor
189,This is a rumor circulating online,rumor
190,Check facts before sharing this post,non-rumor
191,Official statement released by authorities,rumor
192,Unverified claim spreading rapidly,rumor
193,Breaking news event reported in Beijing,rumor
194,Official statement released by authorities,rumor
195,Breaking news event reported in Beijing,rumor
196,Breaking news event reported in Beijing,non-rumor
197,Breaking news event reported in Beijing,rumor
198,Official statement released by authorities,non-rumor
199,This is a rumor circulating online,non-rumor
200,Breaking news event reported in Beijing,non-rumor
201,Unverified claim spreading rapidly,non-rumor
202,This is a rumor circulating online,rumor
203,Breaking news event reported in Beijing,rumor
204,This is a rumor circulating online,rumor
205,This is a rumor circulating online,rumor
206,Unverified claim spreading rapidly,non-rumor
207,Unverified claim spreading rapidly,non-rumor
208,Official statement released by authorities,rumor
209,Official statement released by authorities,rumor
210,Unverified claim spreading rapidly,rumor
211,This is a rumor circulating online,non-rumor
212,Official statement released by authorities,non-rumor
213,Unverified claim spreading rapidly,rumor
214,Official statement released by authorities,non-rumor
215,Official statement released by authorities,rumor
216,This is a rumor circulating online,non-rumor
217,Breaking news event reported in Beijing,rumor
218,Official statement released by authorities,rumor
219,Check facts before sharing this post,rumor
220,Unverified claim spreading rapidly,rumor
221,Unverified claim spreading rapidly,non-rumor
222,Official statement released by authorities,non-rumor
223,Official statement released by authorities,rumor
224,Official statement released by authorities,rumor
225,Breaking news event reported in Beijing,rumor
226,Unverified claim spreading rapidly,non-rumor
227,Check facts before sharing this post,non-rumor
228,Check facts before sharing this post,rumor
229,Breaking news event reported in Beijing,non-rumor
230,Check facts before sharing this post,non-rumor
231,Breaking news event reported in Beijing,non-rumor
232,This is a rumor circulating online,rumor
233,Official statement released by authorities,rumor
234,This is a rumor circulating online,non-rumor
235,Breaking news event reported in Beijing,non-rumor
236,Check facts before sharing this post,non-rumor
237,Unverified claim spreading rapidly,non-rumor
238,This is a rumor circulating online,non-rumor
239,This is a rumor circulating online,non-rumor
240,This is a rumor circulating online,rumor
241,Breaking news event reported in Beijing,non-rumor
242,Unverified claim spreading rapidly,rumor
243,Unverified claim spreading rapidly,rumor
244,Official statement released by authorities,non-rumor
245,Check facts before sharing this post,non-rumor
246,Breaking news event reported in Beijing,rumor
247,Check facts before sharing this post,non-rumor
248,Breaking news event reported in Beijing,non-rumor
249,This is a rumor circulating online,rumor
250,Unverified claim spreading rapidly,non-rumor
251,Breaking news event reported in Beijing,non-rumor
252,This is a rumor circulating online,non-rumor
253,Breaking news event reported in Beijing,rumor
254,Breaking news event reported in Beijing,non-rumor
255,Official statement released by authorities,non-rumor
256,This is a rumor circulating online,rumor
257,Check facts before sharing this post,non-rumor
258,Check facts before sharing this post,rumor
259,Unverified claim spreading rapidly,non-rumor
260,Check facts before sharing this post,non-rumor
261,This is a rumor circulating online,rumor
262,Breaking news event reported in Beijing,rumor
263,Unverified claim spreading rapidly,non-rumor
264,Unverified claim spreading rapidly,non-rumor
265,Unverified claim spreading rapidly,rumor
266,Breaking news event reported in Beijing,non-rumor
267,Check facts before sharing this post,non-rumor
268,Breaking news event reported in Beijing,rumor
269,Check facts before sharing this post,rumor
270,Unverified claim spreading rapidly,rumor
271,This is a rumor circulating online,rumor
272,Breaking news event reported in Beijing,non-rumor
273,Unverified claim spreading rapidly,non-rumor
274,Official statement released by authorities,non-rumor
275,Official statement released by authorities,rumor
276,Breaking news event reported in Beijing,non-rumor
277,Breaking news event reported in Beijing,non-rumor
278,Official statement released by authorities,rumor
279,Check facts before sharing this post,rumor
280,Official statement released by authorities,non-rumor
281,Official statement released by authorities,rumor
282,Unverified claim spreading rapidly,rumor
283,Unverified claim spreading rapidly,non-rumor
284,Official statement released by authorities,rumor
285,Breaking news event reported in Beijing,non-rumor
286,Official statement released by authorities,non-rumor
287,Check facts before sharing this post,non-rumor
288,Check facts before sharing this post,non-rumor
289,Unverified claim spreading rapidly,non-rumor
290,This is a rumor circulating online,rumor
291,Official statement released by authorities,rumor
292,This is a rumor circulating online,non-rumor
293,Check facts before sharing this post,non-rumor
294,Breaking news event reported in Beijing,rumor
295,Unverified claim spreading rapidly,non-rumor
296,This is a rumor circulating online,rumor
297,Breaking news event reported in Beijing,non-rumor
298,Breaking news event reported in Beijing,non-rumor
299,Breaking news event reported in Beijing,non-rumor
300,Unverified claim spreading rapidly,non-rumor
301,Check facts before sharing this post,rumor
302,Unverified claim spreading rapidly,non-rumor
303,Unverified claim spreading rapidly,non-rumor
304,Check facts before sharing this post,non-rumor
305,This is a rumor circulating online,non-rumor
306,Unverified claim spreading rapidly,rumor
307,This is a rumor circulating online,rumor
308,This is a rumor circulating online,rumor
309,Check facts before sharing this post,non-rumor
310,Breaking news event reported in Beijing,non-rumor
311,Breaking news event reported in Beijing,non-rumor
312,This is a rumor circulating online,rumor
313,Unverified claim spreading rapidly,rumor
314,Breaking news event reported in Beijing,non-rumor
315,This is a rumor circulating online,non-rumor
316,Official statement released by authorities,rumor
317,Breaking news event reported in Beijing,rumor
318,Check facts before sharing this post,non-rumor
319,This is a rumor circulating online,non-rumor
320,Official statement released by authorities,non-rumor
321,Check facts before sharing this post,rumor
322,Breaking news event reported in Beijing,rumor
323,Official statement released by authorities,non-rumor
324,Breaking news event reported in Beijing,rumor
325,Unverified claim spreading rapidly,rumor
326,Unverified claim spreading rapidly,rumor
327,Unverified claim spreading rapidly,non-rumor
328,Unverified claim spreading rapidly,non-rumor
329,Unverified claim spreading rapidly,rumor
330,Check facts before sharing this post,rumor
331,Breaking news event reported in Beijing,rumor
332,This is a rumor circulating online,non-rumor
333,Official statement released by authorities,rumor
334,This is a rumor circulating online,non-rumor
335,This is a rumor circulating online,rumor
336,This is a rumor circulating online,non-rumor
337,Breaking news event reported in Beijing,non-rumor
338,Official statement released by authorities,rumor
339,Breaking news event reported in Beijing,rumor
340,Breaking news event reported in Beijing,non-rumor
341,This is a rumor circulating online,non-rumor
342,This is a rumor circulating online,non-rumor
343,This is a rumor circulating online,rumor
344,This is a rumor circulating online,rumor
345,Breaking news event reported in Beijing,rumor
346,Unverified claim spreading rapidly,non-rumor
347,Unverified claim spreading rapidly,rumor
348,Official statement released by authorities,rumor
349,Unverified claim spreading rapidly,rumor
350,Check facts before sharing this post,rumor
351,Check facts before sharing this post,rumor
352,Breaking news event reported in Beijing,non-rumor
353,Breaking news event reported in Beijing,non-rumor
354,Check facts before sharing this post,rumor
355,Official statement released by authorities,non-rumor
356,Unverified claim spreading rapidly,non-rumor
357,Breaking news event reported in Beijing,rumor
358,Unverified claim spreading rapidly,non-rumor
359,Check facts before sharing this post,non-rumor
360,Official statement released by authorities,rumor
361,This is a rumor circulating online,non-rumor
362,Official statement released by authorities,non-rumor
363,Check facts before sharing this post,non-rumor
364,Official statement released by authorities,non-rumor
365,Unverified claim spreading rapidly,rumor
366,Breaking news event reported in Beijing,non-rumor
367,This is a rumor circulating online,rumor
368,Official statement released by authorities,non-rumor
369,Official statement released by authorities,non-rumor
370,Unverified claim spreading rapidly,rumor
371,Check facts before sharing this post,rumor
372,Breaking news event reported in Beijing,rumor
373,Check facts before sharing this post,non-rumor
374,Check facts before sharing this post,non-rumor
375,This is a rumor circulating online,rumor
376,Check facts before sharing this post,non-rumor
377,Unverified claim spreading rapidly,non-rumor
378,Unverified claim spreading rapidly,rumor
379,Check facts before sharing this post,rumor
380,Check facts before sharing this post,non-rumor
381,Breaking news event reported in Beijing,non-rumor
382,This is a rumor circulating online,non-rumor
383,Breaking news event reported in Beijing,rumor
384,This is a rumor circulating online,rumor
385,Official statement released by authorities,rumor
386,Unverified claim spreading rapidly,rumor
387,Unverified claim spreading rapidly,rumor
388,This is a rumor circulating online,non-rumor
389,This is a rumor circulating online,rumor
390,Official statement released by authorities,non-rumor
391,Check facts before sharing this post,non-rumor
392,This is a rumor circulating online,rumor
393,This is a rumor circulating online,non-rumor
394,Official statement released by authorities,rumor
395,This is a rumor circulating online,rumor
396,Breaking news event reported in Beijing,non-rumor
397,This is a rumor circulating online,non-rumor
398,Unverified claim spreading rapidly,rumor
399,Official statement released by authorities,rumor
400,Check facts before sharing this post,non-rumor
401,Check facts before sharing this post,rumor
402,This is a rumor circulating online,rumor
403,Unverified claim spreading rapidly,non-rumor
404,Check facts before sharing this post,non-rumor
405,Official statement released by authorities,non-rumor
406,Official statement released by authorities,rumor
407,This is a rumor circulating online,rumor
408,Breaking news event reported in Beijing,rumor
409,Unverified claim spreading rapidly,rumor
410,Check facts before sharing this post,rumor
411,Breaking news event reported in Beijing,rumor
412,Official statement released by authorities,non-rumor
413,Check facts before sharing this post,non-rumor
414,This is a rumor circulating online,non-rumor
415,This is a rumor circulating online,non-rumor
416,Official statement released by authorities,non-rumor
417,Unverified claim spreading rapidly,rumor
418,Official statement released by authorities,non-rumor
419,Unverified claim spreading rapidly,rumor
420,This is a rumor circulating online,non-rumor
421,Breaking news event reported in Beijing,non-rumor
422,Unverified claim spreading rapidly,rumor
423,Official statement released by authorities,non-rumor
424,Breaking news event reported in Beijing,non-rumor
425,Check facts before sharing this post,rumor
426,Breaking news event reported in Beijing,non-rumor
427,Breaking news event reported in Beijing,rumor
428,This is a rumor circulating online,rumor
429,Breaking news event reported in Beijing,non-rumor
430,Check facts before sharing this post,non-rumor
431,Official statement released by authorities,rumor
432,This is a rumor circulating online,rumor
433,This is a rumor circulating online,rumor
434,Unverified claim spreading rapidly,rumor
435,This is a rumor circulating online,non-rumor
436,Breaking news event reported in Beijing,rumor
437,Official statement released by authorities,non-rumor
438,Check facts before sharing this post,non-rumor
439,This is a rumor circulating online,rumor
440,Unverified claim spreading rapidly,rumor
441,This is a rumor circulating online,rumor
442,Official statement released by authorities,non-rumor
443,Official statement released by authorities,non-rumor
444,Official statement released by authorities,rumor
445,Official statement released by authorities,rumor
446,This is a rumor circulating online,rumor
447,Official statement released by authorities,non-rumor
448,Check facts before sharing this post,non-rumor
449,Breaking news event reported in Beijing,non-rumor
450,This is a rumor circulating online,rumor
451,Check facts before sharing this post,rumor
452,Breaking news event reported in Beijing,rumor
453,Check facts before sharing this post,non-rumor
454,Check facts before sharing this post,non-rumor
455,This is a rumor circulating online,rumor
456,Breaking news event reported in Beijing,non-rumor
457,This is a rumor circulating online,rumor
458,This is a rumor circulating online,non-rumor
459,Unverified claim spreading rapidly,rumor
460,Unverified claim spreading rapidly,non-rumor
461,Check facts before sharing this post,non-rumor
462,Official statement released by authorities,rumor
463,Unverified claim spreading rapidly,non-rumor
464,Check facts before sharing this post,non-rumor
465,Breaking news event reported in Beijing,non-rumor
466,Check facts before sharing this post,rumor
467,Official statement released by authorities,non-rumor
468,Unverified claim spreading rapidly,non-rumor
469,Official statement released by authorities,rumor
470,Breaking news event reported in Beijing,non-rumor
471,Official statement released by authorities,non-rumor
472,Breaking news event reported in Beijing,rumor
473,This is a rumor circulating online,rumor
474,This is a rumor circulating online,rumor
475,Breaking news event reported in Beijing,rumor
476,Breaking news event reported in Beijing,rumor
477,This is a rumor circulating online,rumor
478,Breaking news event reported in Beijing,rumor
479,This is a rumor circulating online,rumor
480,Unverified claim spreading rapidly,rumor
481,Unverified claim spreading rapidly,rumor
482,This is a rumor circulating online,non-rumor
483,Unverified claim spreading rapidly,non-rumor
484,Breaking news event reported in Beijing,rumor
485,This is a rumor circulating online,rumor
486,Official statement released by authorities,rumor
487,Check facts before sharing this post,rumor
488,This is a rumor circulating online,rumor
489,This is a rumor circulating online,non-rumor
490,This is a rumor circulating online,non-rumor
491,Breaking news event reported in Beijing,non-rumor
492,Check facts before sharing this post,non-rumor
493,This is a rumor circulating online,non-rumor
494,This is a rumor circulating online,rumor
495,Check facts before sharing this post,rumor
496,Unverified claim spreading rapidly,non-rumor
497,This is a rumor circulating online,rumor
498,Breaking news event reported in Beijing,non-rumor
499,Check facts before sharing this post,rumor
500,Check facts before sharing this post,non-rumor
501,Official statement released by authorities,rumor
502,Unverified claim spreading rapidly,non-rumor
503,Check facts before sharing this post,non-rumor
504,Check facts before sharing this post,non-rumor
505,Check facts before sharing this post,rumor
506,Unverified claim spreading rapidly,rumor
507,Unverified claim spreading rapidly,non-rumor
508,Breaking news event reported in Beijing,non-rumor
509,Breaking news event reported in Beijing,non-rumor
510,This is a rumor circulating online,rumor
511,Check facts before sharing this post,rumor
512,Official statement released by authorities,rumor
513,This is a rumor circulating online,rumor
514,Unverified claim spreading rapidly,non-rumor
515,Check facts before sharing this post,rumor
516,This is a rumor circulating online,rumor
517,This is a rumor circulating online,non-rumor
518,Breaking news event reported in Beijing,non-rumor
519,This is a rumor circulating online,rumor
520,Check facts before sharing this post,non-rumor
521,Check facts before sharing this post,rumor
522,This is a rumor circulating online,non-rumor
523,Unverified claim spreading rapidly,rumor
524,Official statement released by authorities,rumor
525,Unverified claim spreading rapidly,rumor
526,Check facts before sharing this post,rumor
527,Official statement released by authorities,non-rumor
528,Official statement released by authorities,rumor
529,Check facts before sharing this post,rumor
530,Official statement released by authorities,non-rumor
531,Official statement released by authorities,non-rumor
532,Breaking news event reported in Beijing,non-rumor
533,Check facts before sharing this post,rumor
534,Official statement released by authorities,rumor
535,This is a rumor circulating online,non-rumor
536,Breaking news event reported in Beijing,rumor
537,Unverified claim spreading rapidly,non-rumor
538,Check facts before sharing this post,non-rumor
539,This is a rumor circulating online,non-rumor
540,Check facts before sharing this post,non-rumor
541,Check facts before sharing this post,rumor
542,This is a rumor circulating online,rumor
543,Unverified claim spreading rapidly,rumor
544,Check facts before sharing this post,rumor
545,Check facts before sharing this post,non-rumor
546,Check facts before sharing this post,rumor
547,This is a rumor circulating online,non-rumor
548,Breaking news event reported in Beijing,non-rumor
549,Check facts before sharing this post,non-rumor
550,Check facts before sharing this post,rumor
551,Unverified claim spreading rapidly,rumor
552,This is a rumor circulating online,non-rumor
553,Breaking news event reported in Beijing,rumor
554,Unverified claim spreading rapidly,rumor
555,This is a rumor circulating online,non-rumor
556,This is a rumor circulating online,rumor
557,Breaking news event reported in Beijing,non-rumor
558,Official statement released by authorities,rumor
559,Unverified claim spreading rapidly,rumor
560,Breaking news event reported in Beijing,rumor
561,Check facts before sharing this post,non-rumor
562,This is a rumor circulating online,rumor
563,This is a rumor circulating online,non-rumor
564,Official statement released by authorities,rumor
565,Check facts before sharing this post,rumor
566,Breaking news event reported in Beijing,non-rumor
567,Unverified claim spreading rapidly,rumor
568,Unverified claim spreading rapidly,rumor
569,Official statement released by authorities,rumor
570,Check facts before sharing this post,non-rumor
571,This is a rumor circulating online,non-rumor
572,Check facts before sharing this post,rumor
573,Official statement released by authorities,rumor
574,This is a rumor circulating online,non-rumor
575,Official statement released by authorities,rumor
576,Breaking news event reported in Beijing,rumor
577,Unverified claim spreading rapidly,rumor
578,This is a rumor circulating online,non-rumor
579,This is a rumor circulating online,non-rumor
580,This is a rumor circulating online,non-rumor
581,Unverified claim spreading rapidly,rumor
582,Unverified claim spreading rapidly,non-rumor
583,This is a rumor circulating online,non-rumor
584,This is a rumor circulating online,non-rumor
585,Breaking news event reported in Beijing,rumor
586,Official statement released by authorities,rumor
587,Breaking news event reported in Beijing,rumor
588,Check facts before sharing this post,rumor
589,Check facts before sharing this post,rumor
590,Check facts before sharing this post,rumor
591,This is a rumor circulating online,rumor
592,Unverified claim spreading rapidly,rumor
593,Official statement released by authorities,rumor
594,Check facts before sharing this post,non-rumor
595,This is a rumor circulating online,non-rumor
596,Check facts before sharing this post,non-rumor
597,Breaking news event reported in Beijing,non-rumor
598,Breaking news event reported in Beijing,rumor
599,Check facts before sharing this post,non-rumor
600,Official statement released by authorities,non-rumor
601,Breaking news event reported in Beijing,rumor
602,Check facts before sharing this post,rumor
603,This is a rumor circulating online,non-rumor
604,Unverified claim spreading rapidly,rumor
605,Breaking news event reported in Beijing,non-rumor
606,This is a rumor circulating online,rumor
607,Unverified claim spreading rapidly,rumor
608,Unverified claim spreading rapidly,non-rumor
609,Check facts before sharing this post,non-rumor
610,Official statement released by authorities,non-rumor
611,Unverified claim spreading rapidly,non-rumor
612,Check facts before sharing this post,rumor
613,Official statement released by authorities,non-rumor
614,Breaking news event reported in Beijing,rumor
615,Check facts before sharing this post,non-rumor
616,Unverified claim spreading rapidly,rumor
617,This is a rumor circulating online,non-rumor
618,This is a rumor circulating online,non-rumor
619,Official statement released by authorities,non-rumor
620,Official statement released by authorities,non-rumor
621,Official statement released by authorities,rumor
622,Check facts before sharing this post,non-rumor
623,Unverified claim spreading rapidly,non-rumor
624,This is a rumor circulating online,non-rumor
625,Unverified claim spreading rapidly,non-rumor
626,This is a rumor circulating online,rumor
627,This is a rumor circulating online,non-rumor
628,Unverified claim spreading rapidly,rumor
629,This is a rumor circulating online,non-rumor
630,Breaking news event reported in Beijing,non-rumor
631,Breaking news event reported in Beijing,non-rumor
632,Official statement released by authorities,non-rumor
633,Unverified claim spreading rapidly,non-rumor
634,This is a rumor circulating online,non-rumor
635,Breaking news event reported in Beijing,rumor
636,This is a rumor circulating online,rumor
637,Check facts before sharing this post,non-rumor
638,Official statement released by authorities,rumor
639,Check facts before sharing this post,non-rumor
640,Official statement released by authorities,rumor
641,Breaking news event reported in Beijing,rumor
642,Official statement released by authorities,rumor
643,Check facts before sharing this post,rumor
644,Check facts before sharing this post,rumor
645,Check facts before sharing this post,rumor
646,Breaking news event reported in Beijing,non-rumor
647,Breaking news event reported in Beijing,rumor
648,Unverified claim spreading rapidly,rumor
649,Unverified claim spreading rapidly,rumor
650,Official statement released by authorities,rumor
651,Check facts before sharing this post,non-rumor
652,Unverified claim spreading rapidly,rumor
653,Breaking news event reported in Beijing,non-rumor
654,Breaking news event reported in Beijing,non-rumor
655,Breaking news event reported in Beijing,non-rumor
656,Official statement released by authorities,rumor
657,Official statement released by authorities,non-rumor
658,Check facts before sharing this post,rumor
659,This is a rumor circulating online,non-rumor
660,Breaking news event reported in Beijing,rumor
661,Official statement released by authorities,non-rumor
662,This is a rumor circulating online,rumor
663,Official statement released by authorities,rumor
664,Check facts before sharing this post,rumor
665,Breaking news event reported in Beijing,non-rumor
666,This is a rumor circulating online,rumor
667,Check facts before sharing this post,rumor
668,This is a rumor circulating online,rumor
669,Unverified claim spreading rapidly,non-rumor
670,This is a rumor circulating online,rumor
671,Breaking news event reported in Beijing,rumor
672,Check facts before sharing this post,non-rumor
673,This is a rumor circulating online,rumor
674,Check facts before sharing this post,rumor
675,Breaking news event reported in Beijing,non-rumor
676,Check facts before sharing this post,non-rumor
677,Check facts before sharing this post,rumor
678,Breaking news event reported in Beijing,non-rumor
679,Official statement released by authorities,non-rumor
680,Check facts before sharing this post,rumor
681,Check facts before sharing this post,non-rumor
682,Official statement released by authorities,non-rumor
683,Check facts before sharing this post,rumor
684,Breaking news event reported in Beijing,non-rumor
685,Official statement released by authorities,rumor
686,This is a rumor circulating online,rumor
687,Official statement released by authorities,rumor
688,Official statement released by authorities,non-rumor
689,Breaking news event reported in Beijing,rumor
690,This is a rumor circulating online,non-rumor
691,Unverified claim spreading rapidly,non-rumor
692,Unverified claim spreading rapidly,non-rumor
693,Unverified claim spreading rapidly,rumor
694,Breaking news event reported in Beijing,rumor
695,Official statement released by authorities,non-rumor
696,Check facts before sharing this post,rumor
697,Breaking news event reported in Beijing,rumor
698,Check facts before sharing this post,non-rumor
699,Official statement released by authorities,rumor
700,Unverified claim spreading rapidly,non-rumor
701,Check facts before sharing this post,rumor
702,Unverified claim spreading rapidly,rumor
703,Check facts before sharing this post,non-rumor
704,This is a rumor circulating online,rumor
705,This is a rumor circulating online,non-rumor
706,Breaking news event reported in Beijing,rumor
707,This is a rumor circulating online,rumor
708,Unverified claim spreading rapidly,non-rumor
709,Breaking news event reported in Beijing,rumor
710,Unverified claim spreading rapidly,rumor
711,Unverified claim spreading rapidly,rumor
712,Breaking news event reported in Beijing,rumor
713,Check facts before sharing this post,rumor
714,Breaking news event reported in Beijing,non-rumor
715,Official statement released by authorities,rumor
716,Unverified claim spreading rapidly,non-rumor
717,Check facts before sharing this post,rumor
718,This is a rumor circulating online,rumor
719,Check facts before sharing this post,rumor
720,This is a rumor circulating online,non-rumor
721,Breaking news event reported in Beijing,rumor
722,Breaking news event reported in Beijing,non-rumor
723,Check facts before sharing this post,non-rumor
724,Official statement released by authorities,rumor
725,Check facts before sharing this post,rumor
726,This is a rumor circulating online,rumor
727,Unverified claim spreading rapidly,rumor
728,Unverified claim spreading rapidly,rumor
729,Official statement released by authorities,rumor
730,Check facts before sharing this post,rumor
731,Unverified claim spreading rapidly,non-rumor
732,Breaking news event reported in Beijing,rumor
733,Official statement released by authorities,non-rumor
734,Check facts before sharing this post,rumor
735,Official statement released by authorities,rumor
736,This is a rumor circulating online,rumor
